model_type,dataset_type,stem,original_path,watermarked_path,logmel_score,stft_score
audioseal,bonafide,E_0000351484,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000351484.flac,watermarked_audios/audioseal/bonafide/E_0000351484_watermarked.flac,0.3094584345817566,0.22513529658317566
audioseal,bonafide,E_0004660757,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004660757.flac,watermarked_audios/audioseal/bonafide/E_0004660757_watermarked.flac,0.4142650067806244,0.2875764071941376
audioseal,bonafide,E_0003918928,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003918928.flac,watermarked_audios/audioseal/bonafide/E_0003918928_watermarked.flac,0.29963189363479614,0.22522421181201935
audioseal,bonafide,E_0006343730,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006343730.flac,watermarked_audios/audioseal/bonafide/E_0006343730_watermarked.flac,0.3204297125339508,0.20931513607501984
audioseal,bonafide,E_0001291814,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001291814.flac,watermarked_audios/audioseal/bonafide/E_0001291814_watermarked.flac,0.32033777236938477,0.20206966996192932
audioseal,bonafide,E_0009371779,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009371779.flac,watermarked_audios/audioseal/bonafide/E_0009371779_watermarked.flac,0.3176198899745941,0.2179253101348877
audioseal,bonafide,E_0009356735,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009356735.flac,watermarked_audios/audioseal/bonafide/E_0009356735_watermarked.flac,0.3876708745956421,0.2527337074279785
audioseal,bonafide,E_0008555812,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0008555812.flac,watermarked_audios/audioseal/bonafide/E_0008555812_watermarked.flac,0.3959989845752716,0.24655520915985107
audioseal,bonafide,E_0005226072,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005226072.flac,watermarked_audios/audioseal/bonafide/E_0005226072_watermarked.flac,0.31326109170913696,0.18751125037670135
audioseal,bonafide,E_0004926975,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004926975.flac,watermarked_audios/audioseal/bonafide/E_0004926975_watermarked.flac,0.4364567697048187,0.2763138711452484
audioseal,bonafide,E_0002283723,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002283723.flac,watermarked_audios/audioseal/bonafide/E_0002283723_watermarked.flac,0.48421865701675415,0.31041717529296875
audioseal,bonafide,E_0008793269,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0008793269.flac,watermarked_audios/audioseal/bonafide/E_0008793269_watermarked.flac,0.3996160626411438,0.23213878273963928
audioseal,bonafide,E_0006680030,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006680030.flac,watermarked_audios/audioseal/bonafide/E_0006680030_watermarked.flac,0.32528945803642273,0.22647309303283691
audioseal,bonafide,E_0009701254,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009701254.flac,watermarked_audios/audioseal/bonafide/E_0009701254_watermarked.flac,0.35477277636528015,0.22973160445690155
audioseal,bonafide,E_0005414533,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005414533.flac,watermarked_audios/audioseal/bonafide/E_0005414533_watermarked.flac,0.3430522680282593,0.1801084727048874
audioseal,bonafide,E_0000068801,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000068801.flac,watermarked_audios/audioseal/bonafide/E_0000068801_watermarked.flac,0.30917152762413025,0.2118254005908966
audioseal,bonafide,E_0004813037,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004813037.flac,watermarked_audios/audioseal/bonafide/E_0004813037_watermarked.flac,0.34387776255607605,0.2379630208015442
audioseal,bonafide,E_0005337995,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005337995.flac,watermarked_audios/audioseal/bonafide/E_0005337995_watermarked.flac,0.35724395513534546,0.24996042251586914
audioseal,bonafide,E_0006569211,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006569211.flac,watermarked_audios/audioseal/bonafide/E_0006569211_watermarked.flac,0.4222356081008911,0.2959742844104767
audioseal,bonafide,E_0006656507,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006656507.flac,watermarked_audios/audioseal/bonafide/E_0006656507_watermarked.flac,0.313455730676651,0.21342813968658447
audioseal,bonafide,E_0003858828,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003858828.flac,watermarked_audios/audioseal/bonafide/E_0003858828_watermarked.flac,0.35800865292549133,0.23077459633350372
audioseal,bonafide,E_0006051703,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006051703.flac,watermarked_audios/audioseal/bonafide/E_0006051703_watermarked.flac,0.5202280879020691,0.3193614184856415
audioseal,bonafide,E_0003614368,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003614368.flac,watermarked_audios/audioseal/bonafide/E_0003614368_watermarked.flac,0.3423669934272766,0.2387354075908661
audioseal,bonafide,E_0002886025,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002886025.flac,watermarked_audios/audioseal/bonafide/E_0002886025_watermarked.flac,0.3461371660232544,0.22161652147769928
audioseal,bonafide,E_0005411438,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005411438.flac,watermarked_audios/audioseal/bonafide/E_0005411438_watermarked.flac,0.3475348651409149,0.2350529134273529
audioseal,bonafide,E_0007832397,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007832397.flac,watermarked_audios/audioseal/bonafide/E_0007832397_watermarked.flac,0.3597862720489502,0.2825333774089813
audioseal,bonafide,E_0005488466,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005488466.flac,watermarked_audios/audioseal/bonafide/E_0005488466_watermarked.flac,0.29358524084091187,0.22697725892066956
audioseal,bonafide,E_0005922616,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005922616.flac,watermarked_audios/audioseal/bonafide/E_0005922616_watermarked.flac,0.5915738344192505,0.2790043354034424
audioseal,bonafide,E_0002138252,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002138252.flac,watermarked_audios/audioseal/bonafide/E_0002138252_watermarked.flac,0.3872728943824768,0.23324593901634216
